P6040,Wage,P6040_2,P6020_2,P6080_1,P6080_3,P6080_5,P6087_1,P6087_2,P6087_3,P6087_5,P6087_6,P6087_7,P6087_8,P6087_9,P6088_1,P6088_2,P6088_3,P6088_5,P6088_6,P6088_7,P6088_8,P6088_9,P6450_2,P8587_1,P8587_3,P8587_4,P8587_6,P8587_7,P8587_8,P8587_9,P8587_10,P8587_11,P8587_12,P8587_13
62,13.815510557964274,3844,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,15.068273526459642,1849,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,14.180847874981659,1444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,14.195315919291861,1444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31,14.514639810201768,961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,14.269130707959485,1024,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,13.710150042306449,1849,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35,14.077874822431765,1225,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,14.077874822431765,4489,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,14.508657738524219,1225,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,14.089347223594002,441,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
